"11","642857140","Meyer","Dylan","UG","2","SR","ABC1","IP","RE","dylan.e.meyer@fakeu.edu"
"12","474462649","Donaldson","Angelina","UG","2","SR","ABC2","IP","RE","angelina.q.donaldson@fakeu.edu"
"13","918676889","Jackson","Emily","UG","2","SR","ABC2","IP","RE","emily.a.jackson@fakeu.edu"
"14","910938320","Skinner","Julian","UG","2","SR","ABC2","IP","RE","julian.a.skinner@fakeu.edu"
"15","272419046","Hernandez","Hannah","UG","2","SR","ABC2","IP","RE","hannah.g.hernandez@fakeu.edu"
"16","161522646","Johnson","Eli","UG","2","SR","ABC1","IP","RE","eli.n.johnson@fakeu.edu"
"17","842907369","Lane","Jocelyn","UG","2","SR","ABC2","IP","RE","jocelyn.a.lane@fakeu.edu"
"18","915163232","Harmon","Emily","UG","2","SR","ABC2","IP","RE","emily.n.harmon@fakeu.edu"
"19","914802687","Scott","Isaiah","UG","2","SR","ABC2","IP","RE","isaiah.n.scott@fakeu.edu"
"20","995717633","Callahan","Jade","UG","2","SR","ABC2","IP","RE","jade.l.callahan@fakeu.edu"
"21","442670791","Christensen","Angel","UG","2","SR","ABC1","IP","RE","angel.v.christensen@fakeu.edu"
"22","116664529","Brown","John","UG","2","SR","ABC2","IP","RE","john.s.brown@fakeu.edu"
"23","660307597","Key","Santiago","UG","2","SR","ABC2","IP","RE","santiago.i.key@fakeu.edu"
"24","866635318","Miller","Henry","UG","2","SR","ABC1","IP","RE","henry.j.miller@fakeu.edu"
"25","426744149","Brewer","Andrew","UG","2","SR","ABC2","IP","RE","andrew.d.brewer@fakeu.edu"
"26","831570953","Cole","Jonathan","UG","2","SR","ABC2","IP","RE","jonathan.e.cole@fakeu.edu"
"27","728038211","Rhodes","Ethan","UG","2","SR","ABC2","IP","RE","ethan.a.rhodes@fakeu.edu"
"28","723259861","Bates","Julian","UG","2","SR","ABC1","IP","RE","julian.s.bates@fakeu.edu"
"29","112723591","O'donnell","Stephanie","UG","2","SR","ABC2","IP","RE","stephanie.s.o'donnell@fakeu.edu"
"30","861094919","Caldwell","Jacob","UG","2","SR","ABC2","IP","RE","jacob.h.caldwell@fakeu.edu"
"31","490720476","Leonard","Sophia","UG","2","SR","ABC2","IP","RE","sophia.w.leonard@fakeu.edu"
"32","731989222","Miranda","Ivan","UG","2","SR","ABC2","IP","RE","ivan.n.miranda@fakeu.edu"
"33","565228059","Kaufman","Owen","UG","2","SR","ABC2","IP","RE","owen.b.kaufman@fakeu.edu"
"34","761057525","Hernandez","Alexander","UG","2","SR","ABC1","IP","RE","alexander.j.hernandez@fakeu.edu"
"35","155728618","White","Addison","UG","2","SR","ABC2","IP","RE","addison.a.white@fakeu.edu"
"36","425263522","Stout","Ethan","UG","2","SR","ABC2","IP","RE","ethan.j.stout@fakeu.edu"
"37","250130769","Brown","Valerie","UG","2","SR","ABC2","IP","RE","valerie.a.brown@fakeu.edu"
"38","497516752","Thompson","Connor","UG","2","SR","ABC1","IP","RE","connor.l.thompson@fakeu.edu"
"39","102768025","Gibbs","Jose","UG","2","SR","ABC2","IP","RE","jose.j.gibbs@fakeu.edu"
"40","538503809","Austin","Kevin","UG","2","SR","ABC2","IP","RE","kevin.a.austin@fakeu.edu"
"41","465629158","Sharp","Ashley","UG","2","SR","ABC1","IP","RE","ashley.v.sharp@fakeu.edu"
"42","337664116","Patterson","Noah","UG","2","SR","ABC2","IP","RE","noah.c.patterson@fakeu.edu"
"43","524183004","Stanley","Khloe","UG","2","SR","ABC2","IP","RE","khloe.a.stanley@fakeu.edu"
"44","877360360","Jones","Nathan","UG","2","SR","ABC1","IP","RE","nathan.q.jones@fakeu.edu"
"45","180974351","Jones","Jonathan","UG","2","SR","ABC2","IP","RE","jonathan.s.jones@fakeu.edu"
"46","288580427","Jones","William","UG","2","SR","ABC2","IP","RE","william.g.jones@fakeu.edu"
"47","557225888","Griffin","Ethan","UG","2","SR","ABC2","IP","RE","ethan.m.griffin@fakeu.edu"
"48","830838090","Cochran","Julian","UG","2","SR","ABC2","IP","RE","julian.k.cochran@fakeu.edu"
"49","180551063","Gonzales","Dylan","UG","2","SR","ABC2","IP","RE","dylan.k.gonzales@fakeu.edu"
"50","253252133","Hawkins","Sophia","UG","2","SR","ABC2","IP","RE","sophia.b.hawkins@fakeu.edu"
"51","511040517","Rivera","Gabriella","UG","2","SR","ABC2","IP","RE","gabriella.s.rivera@fakeu.edu"
"52","733742857","Romero","Jayden","UG","2","SR","ABC2","IP","RE","jayden.i.romero@fakeu.edu"
"53","174881650","Sanchez","Sophie","UG","2","SR","ABC1","IP","RE","sophie.k.sanchez@fakeu.edu"
"54","295539605","Henderson","Jackson","UG","2","SR","ABC1","IP","RE","jackson.v.henderson@fakeu.edu"
"55","542874130","Flores","Emma","UG","2","SR","ABC1","IP","RE","emma.w.flores@fakeu.edu"
"56","642061867","Lindsay","Diego","UG","2","SR","ABC2","IP","RE","diego.j.lindsay@fakeu.edu"
"57","434725748","Walker","Noah","UG","2","SR","ABC2","IP","RE","noah.e.walker@fakeu.edu"
"58","699642788","Tran","Carlos","UG","2","SR","ABC2","IP","RE","carlos.l.tran@fakeu.edu"
"59","652046407","Church","Angel","UG","2","SR","ABC1","IP","RE","angel.k.church@fakeu.edu"
"60","138062437","Brown","Ethan","UG","2","SR","ABC1","IP","RE","ethan.l.brown@fakeu.edu"
"61","875866437","Young","Destiny","UG","2","SR","ABC1","IP","RE","destiny.j.young@fakeu.edu"
"62","833811010","Edwards","Sofia","UG","2","SR","ABC2","IP","RE","sofia.a.edwards@fakeu.edu"
"63","553674873","Larson","Melody","UG","2","SR","ABC2","IP","RE","melody.a.larson@fakeu.edu"
"64","986066153","Ellis","Samantha","UG","2","SR","ABC1","IP","RE","samantha.i.ellis@fakeu.edu"
"65","787939650","Wolf","Valerie","UG","2","SR","ABC1","IP","RE","valerie.a.wolf@fakeu.edu"
"66","885519114","Brown","Diego","UG","2","SR","ABC2","IP","RE","diego.n.brown@fakeu.edu"
"67","847667123","Stephenson","Zachary","UG","2","SR","ABC2","IP","RE","zachary.a.stephenson@fakeu.edu"
"68","869155564","Sampson","Christopher","UG","2","SR","ABC2","IP","RE","christopher.a.sampson@fakeu.edu"
"69","433899995","Foley","Eli","UG","2","SR","ABC1","IP","RE","eli.e.foley@fakeu.edu"
"70","593417870","Lewis","William","UG","2","SR","ABC1","IP","RE","william.v.lewis@fakeu.edu"
"71","562155819","Marshall","Isaac","UG","2","SR","ABC1","IP","RE","isaac.v.marshall@fakeu.edu"
"72","319435687","Tucker","Noah","UG","2","SR","ABC2","IP","RE","noah.n.tucker@fakeu.edu"
"73","216466558","Smith","Logan","UG","2","SR","ABC2","IP","RE","logan.n.smith@fakeu.edu"
"74","354366529","Washington","Jayden","UG","2","SR","ABC2","IP","RE","jayden.e.washington@fakeu.edu"
"75","823006428","Weiss","James","UG","2","SR","ABC1","IP","RE","james.c.weiss@fakeu.edu"
"76","378129573","Smith","Angelina","UG","2","SR","ABC2","IP","RE","angelina.z.smith@fakeu.edu"
"77","286796383","Clark","Harper","UG","2","SR","ABC2","IP","RE","harper.j.clark@fakeu.edu"
"78","364513374","Sanders","Mateo","UG","2","SR","ABC2","IP","RE","mateo.s.sanders@fakeu.edu"
"79","640150271","Huffman","David","UG","2","SR","ABC2","IP","RE","david.b.huffman@fakeu.edu"
"80","252278846","Weaver","Joseph","UG","2","SR","ABC1","IP","RE","joseph.m.weaver@fakeu.edu"
"81","355484903","Davis","Abigail","UG","2","SR","ABC2","IP","RE","abigail.j.davis@fakeu.edu"
"82","496725519","Tillman","Victoria","UG","2","SR","ABC1","IP","RE","victoria.d.tillman@fakeu.edu"
"83","121084873","Clark","Gabriel","UG","2","SR","ABC1","IP","RE","gabriel.l.clark@fakeu.edu"
"84","662472189","Walker","Bryan","UG","2","SR","ABC1","IP","RE","bryan.a.walker@fakeu.edu"
"85","566877571","Gay","John","UG","2","SR","OTH8","IP","RE","john.m.gay@fakeu.edu"
"86","341115911","Carter","Jacob","UG","2","SR","ABC1","IP","RE","jacob.g.carter@fakeu.edu"
"87","277249562","Reynolds","Emily","UL","2","UL","ABC1","IP","RE","emily.j.reynolds1@fakeu.edu"
"88","539036373","White","Oliver","UG","2","JR","ABC1","IP","RE","oliver.n.white@fakeu.edu"
"89","206642668","Peters","Isaac","UG","2","SR","ABC2","IP","RE","isaac.n.peters@fakeu.edu"
"90","889915902","Johnson","Nicholas","UG","2","SR","ABC1","IP","RE","nicholas.r.johnson@fakeu.edu"
"91","275175919","Figueroa","Hunter","UG","2","SR","OT35","IP","RE","hunter.l.figueroa@fakeu.edu"
"92","141888870","Travis","Elizabeth","UG","2","SR","ABC2","IP","RE","elizabeth.l.travis@fakeu.edu"
"93","722824738","Cohen","Brandon","UG","2","SR","ABC1","IP","RE","brandon.j.cohen@fakeu.edu"
"94","737556795","Foley","Destiny","UG","2","SR","ABC2","IP","RE","destiny.n.foley@fakeu.edu"
"95","407635652","Sykes","Nathan","UG","2","SR","ABC1","IP","RE","nathan.s.sykes@fakeu.edu"
"96","663274304","Bernard","Thomas","UG","2","SR","ABC1","IP","RE","thomas.k.bernard@fakeu.edu"
"97","524367519","Tyler","Aaron","UG","2","SR","ABC2","IP","RE","aaron.q.tyler@fakeu.edu"
"98","104818868","Hanson","Melody","UG","2","SR","ABC1","IP","RE","melody.b.hanson@fakeu.edu"
"99","691833885","Johnson","Kaylee","UG","2","SR","ABC1","IP","RE","kaylee.j.johnson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"11596","201201","ABC","257","0","1.000 - 3.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Tutorial","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"71311","201201","ABC","257","1","1.000 - 3.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Parsons, Mia E.","Tutorial","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","427061166","Nelson","Melissa","UG","1","JR","ABC1","P","RE","melissa.a.nelson@fakeu.edu"
"2","828415835","Pena","Mila","UG","1","SO","ABC1","P","RE","mila.s.pena@fakeu.edu"
"3","450375219","Anderson","Kevin","UG","1","JR","ABC1","P","RE","kevin.h.anderson@fakeu.edu"
"4","754795178","Porter","Michael","UG","1","SR","ABC1","P","RE","michael.i.porter@fakeu.edu"
"5","848402569","Woods","Chloe","UG","1","SR","ABC1","P","RE","chloe.s.woods@fakeu.edu"
"6","428431250","Anderson","Natalia","UG","1","SR","ABC1","P","RE","natalia.a.anderson1@fakeu.edu"
"7","762568199","Cummings","Carlos","UG","1","SR","ABC2","P","RE","carlos.k.cummings@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"41230","201201","ABC","257","2","1.000 - 3.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"34117","201201","ABC","257","3","1.000 - 3.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Tutorial","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","861094919","Caldwell","Jacob","UG","2","SR","ABC2","P","RE","jacob.h.caldwell@fakeu.edu"
"2","501793533","Long","Melissa","UG","1","SR","ABC1","P","RE","melissa.r.long@fakeu.edu"
"3","282615328","Wall","Jonathan","UG","2","JR","DEF1","P","RE","jonathan.g.wall@fakeu.edu"
"4","459888821","Miranda","Elijah","UG","3","SR","ABC1","P","RE","elijah.o.miranda@fakeu.edu"
"5","827289397","Peterson","Logan","UG","1","SR","ABC2","P","RE","logan.a.peterson1@fakeu.edu"
"6","321205221","Castillo","Jacob","UG","3","SR","ABC1","P","RE","jacob.a.castillo@fakeu.edu"
"7","915163232","Harmon","Emily","UG","1","SR","ABC2","P","RE","emily.n.harmon@fakeu.edu"
"8","422973534","Butler","Brianna","UG","1","SR","ABC1","P","RE","brianna.a.butler@fakeu.edu"
"9","397548189","Guerrero","Sofia","UG","1","JR","ABC1","P","RE","sofia.j.guerrero@fakeu.edu"
"10","885152897","Middleton","Nathan","UG","1","SR","ABC1","P","RE","nathan.l.middleton@fakeu.edu"
"11","323006431","Cherry","Noah","UG","1","SR","ABC1","P","RE","noah.n.cherry@fakeu.edu"
"12","563081424","Beach","Jeremiah","UG","2","SR","ABC1","P","RE","jeremiah.a.beach@fakeu.edu"
"13","208312712","Burke","Valeria","UG","2","SR","ABC1","P","RE","valeria.x.burke@fakeu.edu"
"14","686721225","Kennedy","Jonathan","UG","1","JR","ABC1","P","RE","jonathan.j.kennedy@fakeu.edu"
"15","481771882","Martinez","Camila","UG","1","JR","ABC1","P","RE","camila.s.martinez@fakeu.edu"
"16","179399496","Downs","Emma","UG","2","SO","ABC2","P","RE","emma.x.downs@fakeu.edu"
"17","661744411","Castro","Alex","UG","3","SR","ABC1","P","RE","alex.u.castro@fakeu.edu"
"18","258652113","Edwards","Leonardo","UG","1","SO","ABC1","P","RE","leonardo.j.edwards@fakeu.edu"
"19","236685047","Pruitt","Isaac","UG","1","SO","ABC1","P","RE","isaac.p.pruitt@fakeu.edu"
"20","477975201","Puckett","Emily","UG","1","JR","ABC1","P","RE","emily.j.puckett@fakeu.edu"
"21","642061867","Lindsay","Diego","UG","2","SR","ABC2","P","RE","diego.j.lindsay@fakeu.edu"
"22","250500921","Luna","Zoe","UG","1","SR","ABC1","P","RE","zoe.j.luna@fakeu.edu"
"23","734345982","Wilson","Isabella","UG","3","JR","ABC2","P","RE","isabella.s.wilson@fakeu.edu"
"24","565228059","Kaufman","Owen","UG","2","SR","ABC2","P","RE","owen.b.kaufman@fakeu.edu"
"25","174881650","Sanchez","Sophie","UG","2","SR","ABC1","P","RE","sophie.k.sanchez@fakeu.edu"
"26","660658473","Garcia","Sophia","UG","1","SR","ABC1","P","RE","sophia.l.garcia@fakeu.edu"
"27","929896091","Romero","Sofia","UG","1","JR","DEF2","P","RE","sofia.g.romero@fakeu.edu"
"28","937816288","Lyons","Khloe","UG","1","SO","ABC1","P","RE","khloe.a.lyons@fakeu.edu"
"29","722651463","Williams","Olivia","UG","1","SR","ABC1","P","RE","olivia.j.williams@fakeu.edu"
"30","426744149","Brewer","Andrew","UG","1","SR","ABC2","P","RE","andrew.d.brewer@fakeu.edu"
"31","667335799","Gray","Luis","UG","1","JR","OTH5","P","RE","luis.c.gray@fakeu.edu"
"32","811363443","Wood","Kaylee","UG","1","SO","ABC1","P","RE","kaylee.l.wood@fakeu.edu"
"33","305545701","Robertson","Gabriel","UG","1","SR","ABC1","P","RE","gabriel.j.robertson@fakeu.edu"
"34","912364993","Parrish","Natalie","UG","1","FR","ABC2","P","RE","natalie.d.parrish@fakeu.edu"
"35","666385327","Salas","Ariana","UG","1","SR","ABC2","P","RE","ariana.d.salas@fakeu.edu"
"36","973770738","Young","Elijah","UG","1","SO","ABC1","P","RE","elijah.s.young@fakeu.edu"
"37","537759241","Mccarthy","Charlotte","UG","3","SR","ABC1","P","RE","charlotte.h.mccarthy@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"18348","201201","ABC","257","4","1.000 - 3.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Tutorial","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"57807","201201","ABC","256","0","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"81733","201201","ABC","256","1","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"97190","201201","ABC","256","2","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Perry, Katherine V.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"67537","201201","ABC","256","3","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Sullivan, Jordan H.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"37937","201201","ABC","256","4","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Herring, Nathan L.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"84620","201201","ABC","256","5","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Bennett, Henry A.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"80256","201201","ABC","256","6","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Olson, Jennifer D.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"54385","201201","ABC","256","7","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"White, Amy M.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"38648","201201","ABC","256","8","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Battle, Gianna M.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"52280","201201","ABC","256","9","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Cox, Jayden L.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"15674","201201","ABC","256","10","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Johnson, Abigail N.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"43623","201201","ABC","256","11","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Reese, Ryan X.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"93363","201201","ABC","256","12","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Larsen, Ava S.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","277249562","Reynolds","Emily","UL","2","UL","ABC1","P","RE","emily.j.reynolds1@fakeu.edu"
"2","517640489","Allen","Jason","UG","2","SR","ABC2","P","RE","jason.j.allen@fakeu.edu"
"3","749547188","Smith","Gael","UG","3","FR","ABC2","P","RE","gael.z.smith@fakeu.edu"
"4","467494443","Franks","Kevin","UG","2","SR","ABC2","P","RE","kevin.m.franks@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"58212","201201","ABC","256","13","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Snyder, Samantha R.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"79828","201201","ABC","256","14","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Williams, Juan L.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"12308","201201","ABC","256","15","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Parker, Alejandro G.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"71013","201201","ABC","256","16","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Cox, Ayden C.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"83680","201201","ABC","256","17","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Rutledge, Ashley B.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"19813","201201","ABC","256","18","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Cobb, Sophie A.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"80830","201201","ABC","256","19","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Morris, Evan E.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"44822","201201","ABC","256","20","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Green, Isabella M.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"71727","201201","ABC","256","21","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Montgomery, Landon Y.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"63779","201201","ABC","256","22","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Moore, Isabella M.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"68948","201201","ABC","256","23","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Donaldson, Matthew C.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"98991","201201","ABC","256","24","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Downs, Jesus C.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","619279424","Potts","Jayden","UG","4","JR","ABC1","P","RE","jayden.j.potts@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"24006","201201","ABC","256","25","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Morales, Victoria E.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"56193","201201","ABC","256","26","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Rogers, Emma J.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"10615","201201","ABC","256","27","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Vinson, Dominic A.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"15202","201201","ABC","256","28","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Reeves, Brayden L.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"12222","201201","ABC","256","29","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Fisher, Caleb K.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"17192","201201","ABC","256","30","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Davis, Xavier M.","Variable","","","",""
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"46545","201201","ABC","256","31","1.000 - 5.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
